活动场地,班级,星期二 (14.45-15.55),星期二 (15.55-17.00-延长练习),星期六 (08.00-10.30),星期六 (10.30-13.30)
B001,J1I,A02 男女童军团,,A02 男女童军团,A02 男女童军团
B002,J2K,A02 男女童军团,,A02 男女童军团,A02 男女童军团
B003,J3H,A02 男女童军团,,A02 男女童军团,A02 男女童军团
B101,J1D,D26 吉他学会,,D26 吉他学会,D26 吉他学会
B102,J1E,D26 吉他学会,,D26 吉他学会,D26 吉他学会
B103,J1F,D26 吉他学会,,D26 吉他学会,D26 吉他学会
B104,J1G,C04 舞蹈团,,C04 舞蹈团,C04 舞蹈团
B105,J1H,C04 舞蹈团,,C04 舞蹈团,C04 舞蹈团
B106,J1J,C04 舞蹈团,,C04 舞蹈团,C04 舞蹈团
B201,J2I,E01 图书馆服务团,,E01 图书馆服务团,E01 图书馆服务团
B202,J2J,E01 图书馆服务团,,E01 图书馆服务团,E01 图书馆服务团
B203,J2L,D16 日本语学会,,D16 日本语学会,D16 日本语学会
B204,J1A,D16 日本语学会,,D16 日本语学会,D16 日本语学会
B205,J1B,D19 棋艺学会,,D19 棋艺学会,
B206,J1C,D19 棋艺学会,,D19 棋艺学会,
B301,J2G,D11 书法学会,,D11 书法学会,
B302 电脑室,,,,,
B304 电脑室,,D12 电脑学会,,D12 电脑学会,D12 电脑学会
B305,J2H,D17 花艺学会,,D17 花艺学会,
B401,J2A,C06 中华武术团,,C06 中华武术团,C06 中华武术团
B402,J2B,D13 环保学会,,D13 环保学会,
B403,J2C,B06 华语辩论培训队,,B06 华语辩论培训队,B06 华语辩论培训队
B404,J2D,B06 华语辩论培训队,,B06 华语辩论培训队,B06 华语辩论培训队
B405,J2E,D18 摄影学会,,D18 摄影学会,
B406,J2F,D24 跆拳道学会,,D24 跆拳道学会,E02 编辑小组
